Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
26PPR0247B,1,MATUTINO,INAC,BÁSICA,PRIMARIA,GENERAL,PRIVADO,PRIVADO,26,SONORA,19,CANANEA,1,HEROICA CIUDAD DE CANANEA,CALLE CARRETERA CANANEA - AGUA PRIETA KILOMETRO 5,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,21,INDUSTRIAL,84623,3321125,3321125,,,123,126,249,0,12,12,13,13,,110:15:53.09 W,30:59:23.76 N,-110.264748,30.989933
26PPR0350O,1,MATUTINO,PALO ALTO ESCUELA AMERICANA LOS ENCINOS,BÁSICA,PRIMARIA,GENERAL,PRIVADO,PRIVADO,26,SONORA,30,HERMOSILLO,1,HERMOSILLO,CALLE DIEGO RIVERA,46,CALLE PASEO LAS LOMAS,CALLE SIN REFERENCIA,NINGUNO NINGUNO,852,"URBI ALAMEDA ENCINOS I,II,III",83293,6622081084,6622081084,,,110,77,187,2,5,7,11,11,,110:57:15.00 W,29:5:56.00 N,-110.954167,29.098889
26USU0061T,4,DISCONTINUO,DEPTO DE TRABAJO SOCIAL UNI-SON,SUPERIOR,SUPERIOR,LICENCIATURA Y POSGRADO,PÚBLICO,AUTÓNOMO,26,SONORA,30,HERMOSILLO,1,HERMOSILLO,BOULEVARD ROSALES,0,BOULEVARD LUIS DONALDO COLOSIO MURRIETA,BOULEVARD LUIS ENCINAS JOHNSON,CALLE DE LA REFORMA,822,HERMOSILLO CENTRO,83000,2592178,2592178,,,,,,,,,,,,110:57:41.57 W,29:5:0.24 N,-110.961548,29.0834
26USU1965N,4,DISCONTINUO,DEPARTAMENTO DE CIENCIAS ECONOMICO ADMINISTRATIVAS UNI-SON CAMPUS CABORCA,SUPERIOR,SUPERIOR,LICENCIATURA Y POSGRADO,PÚBLICO,AUTÓNOMO,26,SONORA,17,CABORCA,1,HEROICA CABORCA,AVENIDA UNIVERSIDAD E IRIGOYEN,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,59,NINGUNO,0,3722282,3722282,,,,,,,,,,,,112:9:29.21 W,30:43:24.01 N,-112.158113,30.723337
26PPR0066S,1,MATUTINO,EDUCK-ART,BÁSICA,PRIMARIA,GENERAL,PRIVADO,PRIVADO,26,SONORA,18,CAJEME,1,CIUDAD OBREGÓN,CALLE PASEO LAS PALMAS,1419,CALLE ESCOCIA,CALLE PASEO MIRAVALLE,NINGUNO NINGUNO,158,VILLA FONTANA,85096,4174067,4174067,,,72,52,124,1,7,8,7,7,,109:55:32.64 W,27:26:29.22 N,-109.925732,27.441451
26PCB0076U,1,MATUTINO,CIMA COLEGIO AMERICANO,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PRIVADO,PRIVADO,26,SONORA,48,PUERTO PEÑASCO,1,PUERTO PEÑASCO,CALLE TRINCHERAS,0,NINGUNO NINGUNO,CALLE TRINCHERAS,NINGUNO NINGUNO,37,BENITO JUAREZ,0,6383831854,6383831854,,,,,,,,,,,,113:31:39.66 W,31:18:20.21 N,-113.527684,31.305615
26PJN0139D,1,MATUTINO,"COLEGIO AMERICANO DE SAN CARLOS, S. C.",BÁSICA,PREESCOLAR,GENERAL,PRIVADO,PRIVADO,26,SONORA,29,GUAYMAS,1,HEROICA GUAYMAS,CALLE LUIS ENCINAS,0,CALLE FAUSTINO FELIX SORIA,CALLE CABO HARO,CALLE CABO BRANCO,60,MIRAMAR,85450,6622212551,6622212551,,,53,30,83,0,3,3,3,3,,110:53:56.00 W,27:55:6.00 N,-110.898889,27.918333
26PJN0152Y,1,MATUTINO,MUNDO PEQUEÑO,BÁSICA,PREESCOLAR,GENERAL,PRIVADO,PRIVADO,26,SONORA,42,NAVOJOA,1,NAVOJOA,CALLE GENERAL IGNACIO PESQUEIRA,0,CALLE GENERAL IGNACIO PESQUEIRA,CALLE LEONARDO MAGAÑA,NINGUNO NINGUNO,49,NINGUNO,0,6424224093,6424224093,,,34,38,72,0,5,5,5,5,,109:26:34.55 W,27:3:55.56 N,-109.44293,27.065432
26PJN0154W,1,MATUTINO,CENTRO EDUCATIVO PREESCOLAR,BÁSICA,PREESCOLAR,GENERAL,PRIVADO,PRIVADO,26,SONORA,55,SAN LUIS RÍO COLORADO,1,SAN LUIS RÍO COLORADO,CALLE DEL VALLE,299,CALLE DEL VALLE,CALLE LIBERTAD,NINGUNO NINGUNO,34,NINGUNO,0,1190476,1190476,,,18,15,33,0,2,2,2,3,,114:47:41.45 W,32:28:16.12 N,-114.794847,32.471144
26PJN0190A,1,MATUTINO,COLEGIO GAXIOLA,BÁSICA,PREESCOLAR,GENERAL,PRIVADO,PRIVADO,26,SONORA,42,NAVOJOA,1,NAVOJOA,CALLE MELCHOR OCAMPO,205,CALLE GENERAL IGNACIO PESQUEIRA,CALLE TIBURCIO OTERO,CALLE GALEANA,49,NINGUNO,0,6424213936,6424213936,,,33,25,58,0,3,3,3,3,,109:26:42.53 W,27:5:13.49 N,-109.445147,27.087081
26PSU0019S,4,DISCONTINUO,INSTITUTO DE ODONTOLOGIA DEL NORESTE A.C.,SUPERIOR,SUPERIOR,LICENCIATURA Y POSGRADO,PRIVADO,PRIVADO,26,SONORA,30,HERMOSILLO,1,HERMOSILLO,CALLE BULEVAR NAVARRETE,72,CALLE ING. FRANCISCO SALAZAR,CALLE DEL RETIRO,CALLE DEL TESORO,258,NINGUNO,0,2121538,2121538,,,,,,,,,,,,110:57:15.00 W,29:5:56.00 N,-110.954167,29.098889
